,born,year,meter,lang,X,Y
38072,1859.0,1904.0,I4_3,cs,3.641854,3.1907487
58192,1856.0,1892.0,I4_3,cs,3.5137618,3.8643467
50695,1864.0,1928.0,I4_3,cs,3.4127214,3.995164
64829,1864.0,1929.0,I4_3,cs,3.291953,3.7014384
47956,1853.0,1877.0,I4_3,cs,3.3565593,4.043707
59356,1846.0,1883.0,I4_3,cs,3.428874,3.7130823
35447,1793.0,1824.0,I4_3,cs,3.7288976,4.186192
48200,1861.0,1893.0,I4_3,cs,3.4697604,3.7373815
57962,1853.0,1901.0,I4_3,cs,3.3067694,4.151849
36064,1793.0,1832.0,I4_3,cs,3.5836005,3.7983277
37997,1873.0,1907.0,I4_3,cs,3.796392,4.0112805
35513,1793.0,1832.0,I4_3,cs,3.5754867,3.4697616
36325,1832.0,1881.0,I4_3,cs,3.2946258,3.232292
36022,1793.0,1832.0,I4_3,cs,3.6197135,3.698938
35106,1866.0,1911.0,I4_3,cs,3.619648,4.071481
63513,1864.0,1915.0,I4_3,cs,3.6527677,3.8294837
58642,1815.0,1859.0,I4_3,cs,2.9561667,3.3298624
35779,1793.0,1832.0,I4_3,cs,3.6020408,3.799081
35963,1793.0,1832.0,I4_3,cs,3.2597437,3.5003114
43915,1834.0,1951.0,I4_3,cs,3.3350267,3.3207595
51426,1804.0,1851.0,I4_3,cs,3.3493955,3.6683743
31100,1770.0,1841.0,I4_3,cs,3.69134,3.5915039
35829,1793.0,1832.0,I4_3,cs,3.420462,3.6610694
55218,1853.0,1893.0,I4_3,cs,3.6688209,3.9523244
45356,1831.0,1855.0,I4_3,cs,3.6794157,4.403667
64002,1883.0,1918.0,I4_3,cs,3.2742813,3.4058309
41210,1864.0,1904.0,I4_3,cs,3.211211,3.5124872
45552,1846.0,1870.0,I4_3,cs,3.569149,3.6680074
43564,1810.0,1928.0,I4_3,cs,3.7439415,3.9437828
33001,1797.0,1834.0,I4_3,cs,3.0388184,4.018217
52648,1858.0,1938.0,I4_3,cs,3.4416103,3.6578045
61366,1883.0,1919.0,I4_3,cs,3.2836404,3.9913983
58389,1803.0,1843.0,I4_3,cs,3.656421,3.9496489
37290,1820.0,1896.0,I4_3,cs,3.491158,3.609535
29297,1835.0,1910.0,I4_3,cs,3.5282981,3.870037
26008,1858.0,1891.0,I4_3,cs,3.2815804,3.3555915
52355,1860.0,1930.0,I4_3,cs,3.4418058,4.0541945
32928,1797.0,1834.0,I4_3,cs,3.4498112,3.9082305
44440,1834.0,1868.0,I4_3,cs,3.2807467,3.5077417
58382,1803.0,1843.0,I4_3,cs,3.2157173,3.247934
52490,1805.0,1840.0,I4_3,cs,3.1126814,3.2840273
35341,1793.0,1824.0,I4_3,cs,3.2674716,3.6099365
63686,1884.0,1933.0,I4_3,cs,3.1231127,3.3935106
63417,1864.0,1900.0,I4_3,cs,3.6435034,4.127756
25604,1871.0,1914.0,I4_3,cs,3.1578605,3.4617803
41729,1864.0,1905.0,I4_3,cs,3.1673481,3.9570072
57701,1853.0,1887.0,I4_3,cs,3.4413493,3.8646264
28799,1835.0,1882.0,I4_3,cs,3.0499692,3.8161764
36067,1793.0,1832.0,I4_3,cs,3.337904,3.3441377
33865,1820.0,1882.0,I4_3,cs,3.1600966,3.9691665
64454,1876.0,1913.0,I4_3,cs,3.1576753,3.4000115
51759,1804.0,1869.0,I4_3,cs,3.617036,3.4808416
31105,1770.0,1841.0,I4_3,cs,3.5573852,3.4219458
28763,1835.0,1899.0,I4_3,cs,2.9317985,3.702732
58630,1815.0,1859.0,I4_3,cs,3.7360773,3.4512992
48519,1861.0,1923.0,I4_3,cs,3.104706,3.5985441
30849,1835.0,1899.0,I4_3,cs,3.269529,3.8065717
57987,1853.0,1963.0,I4_3,cs,3.308385,3.8575459
46454,1853.0,1879.0,I4_3,cs,3.3726475,3.5358858
32153,1849.0,1880.0,I4_3,cs,3.4399128,3.9339297
51435,1804.0,1851.0,I4_3,cs,3.030815,3.618292
