,born,year,meter,lang,X,Y
42843,1846.0,1882.0,I4_3,cs,-1.2471135,-2.7222
47901,1842.0,1891.0,I4_3,cs,-1.0476238,-3.2670035
59513,1846.0,1913.0,I4_3,cs,-1.090747,-2.2196689
63205,1874.0,1908.0,I4_3,cs,-1.1548178,-2.9613698
35716,1793.0,1832.0,I4_3,cs,-1.2236305,-2.513502
29458,1835.0,1885.0,I4_3,cs,-0.9802928,-3.203371
35511,1793.0,1832.0,I4_3,cs,-0.8922927,-2.7593415
59018,1840.0,1882.0,I4_3,cs,-1.008934,-2.90708
38072,1859.0,1904.0,I4_3,cs,-1.3203641,-2.0521402
58192,1856.0,1892.0,I4_3,cs,-1.1551808,-3.0963037
50695,1864.0,1928.0,I4_3,cs,-1.1094007,-2.9851809
64829,1864.0,1929.0,I4_3,cs,-1.1199088,-3.0110905
47956,1853.0,1877.0,I4_3,cs,-1.0471333,-2.9558668
59356,1846.0,1883.0,I4_3,cs,-1.2610554,-2.7399826
35447,1793.0,1824.0,I4_3,cs,-0.94214183,-2.559435
48200,1861.0,1893.0,I4_3,cs,-1.4955028,-2.6441119
57962,1853.0,1901.0,I4_3,cs,-0.8674242,-3.0427547
36064,1793.0,1832.0,I4_3,cs,-1.2526352,-2.69901
37997,1873.0,1907.0,I4_3,cs,-0.3627601,-2.7324746
35513,1793.0,1832.0,I4_3,cs,-1.2177198,-2.6049173
36325,1832.0,1881.0,I4_3,cs,-1.3071458,-2.5199244
36022,1793.0,1832.0,I4_3,cs,-1.0410659,-2.4482887
35106,1866.0,1911.0,I4_3,cs,-0.90646905,-2.8927977
63513,1864.0,1915.0,I4_3,cs,-1.4749041,-2.655343
58642,1815.0,1859.0,I4_3,cs,-1.4072516,-2.4889517
35779,1793.0,1832.0,I4_3,cs,-0.95937794,-2.4850218
35963,1793.0,1832.0,I4_3,cs,-1.3703843,-2.9297338
43915,1834.0,1951.0,I4_3,cs,-1.3947984,-2.5757065
51426,1804.0,1851.0,I4_3,cs,-1.3271884,-2.536716
31100,1770.0,1841.0,I4_3,cs,-0.7215801,-2.8650367
35829,1793.0,1832.0,I4_3,cs,-0.94590193,-2.701346
55218,1853.0,1893.0,I4_3,cs,-1.2982233,-3.1800125
45356,1831.0,1855.0,I4_3,cs,-0.9048945,-2.974158
64002,1883.0,1918.0,I4_3,cs,-1.1906236,-2.4414892
41210,1864.0,1904.0,I4_3,cs,-1.4287484,-2.9777408
45552,1846.0,1870.0,I4_3,cs,-1.1615463,-2.4845839
43564,1810.0,1928.0,I4_3,cs,-0.77050817,-2.6853185
33001,1797.0,1834.0,I4_3,cs,-1.2663189,-3.4221113
52648,1858.0,1938.0,I4_3,cs,-0.8788822,-2.7113206
61366,1883.0,1919.0,I4_3,cs,-1.0497265,-3.091668
58389,1803.0,1843.0,I4_3,cs,-0.6112695,-2.6278129
37290,1820.0,1896.0,I4_3,cs,-1.0444111,-2.727827
29297,1835.0,1910.0,I4_3,cs,-1.1862421,-2.8846624
26008,1858.0,1891.0,I4_3,cs,-1.0372901,-2.550007
52355,1860.0,1930.0,I4_3,cs,-0.8848647,-2.8537388
32928,1797.0,1834.0,I4_3,cs,-0.7473253,-3.2259643
44440,1834.0,1868.0,I4_3,cs,-0.9705597,-2.4842994
58382,1803.0,1843.0,I4_3,cs,-1.2765448,-2.6476276
52490,1805.0,1840.0,I4_3,cs,-1.3872827,-2.7274404
35341,1793.0,1824.0,I4_3,cs,-1.1424048,-2.6169305
63686,1884.0,1933.0,I4_3,cs,-1.2605435,-2.5392976
63417,1864.0,1900.0,I4_3,cs,-0.9039848,-2.7018344
25604,1871.0,1914.0,I4_3,cs,-1.373944,-2.8188891
41729,1864.0,1905.0,I4_3,cs,-0.9854132,-3.0677814
57701,1853.0,1887.0,I4_3,cs,-1.1290717,-2.8586574
28799,1835.0,1882.0,I4_3,cs,-1.0509014,-2.9390407
36067,1793.0,1832.0,I4_3,cs,-1.407989,-2.575462
33865,1820.0,1882.0,I4_3,cs,-0.9823018,-2.9165604
64454,1876.0,1913.0,I4_3,cs,-1.3399068,-2.7598586
51759,1804.0,1869.0,I4_3,cs,-1.1534775,-2.4310424
31105,1770.0,1841.0,I4_3,cs,-1.2588227,-2.5410788
28763,1835.0,1899.0,I4_3,cs,-1.3768,-3.0975091
58630,1815.0,1859.0,I4_3,cs,-1.1890966,-2.4017534
48519,1861.0,1923.0,I4_3,cs,-1.1953229,-2.8201516
30849,1835.0,1899.0,I4_3,cs,-1.0379475,-2.9754858
57987,1853.0,1963.0,I4_3,cs,-1.0581661,-3.0460088
46454,1853.0,1879.0,I4_3,cs,-1.3671491,-2.596891
32153,1849.0,1880.0,I4_3,cs,-1.2621485,-3.0185366
51435,1804.0,1851.0,I4_3,cs,-0.8547535,-2.4980152
51463,1804.0,1851.0,I4_3,cs,-1.1966147,-2.8444512
41317,1864.0,1928.0,I4_3,cs,-1.4382712,-2.7967188
35271,1793.0,1821.0,I4_3,cs,-1.0765268,-2.612136
52690,1846.0,1872.0,I4_3,cs,-1.2573178,-2.7196271
36107,1793.0,1832.0,I4_3,cs,-0.92184216,-2.7902064
36233,1805.0,1857.0,I4_3,cs,-1.1145922,-2.9164274
31089,1770.0,1841.0,I4_3,cs,-1.2723048,-2.6556635
42495,1837.0,1873.0,I4_3,cs,-1.2864602,-3.1265042
62412,1894.0,1912.0,I4_3,cs,-1.1738455,-2.6445725
61052,1881.0,1926.0,I4_3,cs,-1.0382907,-2.8765934
28804,1835.0,1882.0,I4_3,cs,-1.0539801,-2.888845
52966,1847.0,1897.0,I4_3,cs,-0.9027306,-2.84332
36251,1805.0,1842.0,I4_3,cs,-1.2189435,-2.4355936
27459,1817.0,1874.0,I4_3,cs,-1.0298765,-2.8135097
33636,1859.0,1893.0,I4_3,cs,-1.2554429,-3.003816
37629,1868.0,1894.0,I4_3,cs,-1.0114073,-3.0091321
51342,1804.0,1851.0,I4_3,cs,-0.990145,-3.1024754
35959,1793.0,1832.0,I4_3,cs,-1.4058037,-2.5566359
31817,1863.0,1917.0,I4_3,cs,-1.520096,-2.7328584
32992,1797.0,1834.0,I4_3,cs,-0.76014805,-3.6834009
58262,1807.0,1874.0,I4_3,cs,-1.3956238,-2.7053032
42327,1842.0,1872.0,I4_3,cs,-1.3952457,-2.8234503
27670,1855.0,1915.0,I4_3,cs,-1.3288248,-2.9656703
44001,1834.0,1951.0,I4_3,cs,-1.0436869,-3.0058436
48184,1788.0,1862.0,I4_3,cs,-1.3571557,-2.6428368
45445,1829.0,1895.0,I4_3,cs,-1.0794033,-3.0505357
66732,1883.0,1908.0,I4_3,cs,-0.9732655,-2.5334692
33166,1806.0,1846.0,I4_3,cs,-0.9504848,-2.8113275
42910,1846.0,1885.0,I4_3,cs,-1.2225326,-2.9016578
29450,1835.0,1885.0,I4_3,cs,-1.0465258,-2.9436953
36427,1832.0,1881.0,I4_3,cs,-1.5429521,-2.6972132
33241,1806.0,1833.0,I4_3,cs,-1.1688107,-2.6684027
36218,1805.0,1857.0,I4_3,cs,-1.43549,-2.833652
51878,1776.0,1823.0,I4_3,cs,-0.3429388,-3.1128361
43932,1834.0,1951.0,I4_3,cs,-0.9876815,-2.7959273
44913,1875.0,1937.0,I4_3,cs,-1.5043639,-2.7035153
51993,1769.0,1806.0,I4_3,cs,-1.3758765,-2.5367064
42770,1846.0,1869.0,I4_3,cs,-1.2694863,-2.7958791
51544,1804.0,1851.0,I4_3,cs,-1.4362274,-2.9009418
51504,1804.0,1851.0,I4_3,cs,-1.0255979,-2.930869
64721,1864.0,1928.0,I4_3,cs,-1.3528879,-2.5975258
66480,1882.0,1933.0,I4_3,cs,-1.287392,-3.154024
33701,1859.0,1922.0,I4_3,cs,-1.0610605,-3.1324525
31079,1770.0,1841.0,I4_3,cs,-1.2060944,-3.0686722
67150,1864.0,1918.0,I4_3,cs,-1.5534343,-3.1283827
43609,1810.0,1928.0,I4_3,cs,-1.4185674,-2.9677942
49152,1804.0,1836.0,I4_3,cs,-1.521334,-2.5270138
51792,1804.0,1869.0,I4_3,cs,-1.0551527,-2.8369029
35966,1793.0,1832.0,I4_3,cs,-1.5273176,-2.2293158
51545,1804.0,1851.0,I4_3,cs,-1.3547509,-2.884709
27107,1877.0,1916.0,I4_3,cs,-1.4913795,-2.5644855
25033,1836.0,1875.0,I4_3,cs,-1.449207,-2.9383602
24814,1826.0,1864.0,I4_3,cs,-1.293661,-2.8132324
50684,1864.0,1915.0,I4_3,cs,-1.0313662,-2.9469857
27760,1855.0,1889.0,I4_3,cs,-1.476946,-2.7306888
33102,1806.0,1846.0,I4_3,cs,-1.1928105,-2.5583692
37771,1868.0,1933.0,I4_3,cs,-1.2366095,-2.9323144
51457,1804.0,1851.0,I4_3,cs,-1.3671883,-2.863799
35682,1793.0,1832.0,I4_3,cs,-1.2756767,-2.6297748
36229,1805.0,1857.0,I4_3,cs,-1.4928408,-2.86962
58737,1841.0,1907.0,I4_3,cs,-1.2485069,-2.6607397
28797,1835.0,1882.0,I4_3,cs,-1.0883627,-2.7134678
33090,1806.0,1846.0,I4_3,cs,-1.3719877,-3.02962
35948,1793.0,1832.0,I4_3,cs,-1.3185433,-2.7159648
36050,1793.0,1832.0,I4_3,cs,-1.2466996,-2.7819116
52552,1805.0,1840.0,I4_3,cs,-1.409558,-2.6761987
48027,1853.0,1879.0,I4_3,cs,-1.297485,-2.9579246
51677,1804.0,1869.0,I4_3,cs,-1.3756692,-2.8227186
63708,1884.0,1946.0,I4_3,cs,-1.3852117,-2.9816306
42227,1799.0,1846.0,I4_3,cs,-1.1138917,-2.8801975
61368,1883.0,1919.0,I4_3,cs,-1.2567512,-2.6083746
36205,1805.0,1857.0,I4_3,cs,-1.1522098,-2.6850407
35820,1793.0,1832.0,I4_3,cs,-1.4177985,-2.7148988
51384,1804.0,1851.0,I4_3,cs,-1.3049427,-2.7155256
64057,1883.0,1933.0,I4_3,cs,-1.1614336,-2.808127
40017,1864.0,1927.0,I4_3,cs,-1.2711782,-3.0641565
35662,1793.0,1832.0,I4_3,cs,-1.3814665,-2.4317741
28051,1809.0,1873.0,I4_3,cs,-1.5194846,-2.6719902
31197,1874.0,1897.0,I4_3,cs,-1.200251,-2.850749
35242,1793.0,1821.0,I4_3,cs,-1.2089962,-2.306465
53398,1818.0,1844.0,I4_3,cs,-1.0969733,-2.625922
35322,1793.0,1824.0,I4_3,cs,-1.3789607,-2.5310056
49065,1859.0,1918.0,I4_3,cs,-1.395303,-2.7224903
36099,1793.0,1832.0,I4_3,cs,-1.5377411,-2.5242944
35359,1793.0,1824.0,I4_3,cs,-1.2981223,-2.7439322
33198,1806.0,1846.0,I4_3,cs,-1.5421098,-2.4265437
33178,1806.0,1846.0,I4_3,cs,-1.464958,-2.4584196
27114,1877.0,1916.0,I4_3,cs,-1.4419539,-2.6720438
60124,1795.0,1814.0,I4_3,cs,-1.4921201,-2.871277
51343,1804.0,1851.0,I4_3,cs,-1.3453658,-2.9283795
52441,1860.0,1914.0,I4_3,cs,-1.2534044,-2.7735224
52430,1860.0,1914.0,I4_3,cs,-1.2750528,-2.925767
50727,1864.0,1920.0,I4_3,cs,-1.4619833,-2.4368114
38980,1864.0,1937.0,I4_3,cs,-1.1998005,-3.0259697
29105,1835.0,1894.0,I4_3,cs,-1.306521,-3.0609171
41453,1864.0,1926.0,I4_3,cs,-1.1002635,-3.4054797
43711,1818.0,1913.0,I4_3,cs,-1.0901424,-2.7790146
59059,1840.0,1868.0,I4_3,cs,-1.4626846,-2.7641249
36001,1793.0,1832.0,I4_3,cs,-1.4200994,-2.6130931
36429,1832.0,1881.0,I4_3,cs,-1.4047236,-2.9053366
43258,1859.0,1882.0,I4_3,cs,-1.2548155,-2.7716017
49298,1813.0,1911.0,I4_3,cs,-1.3017182,-2.9437654
29260,1835.0,1913.0,I4_3,cs,-1.1363677,-3.0951345
38137,1859.0,1904.0,I4_3,cs,-1.2898828,-2.9026191
58193,1856.0,1892.0,I4_3,cs,-1.547702,-2.9502673
51760,1804.0,1869.0,I4_3,cs,-1.410756,-2.8082683
58273,1807.0,1876.0,I4_3,cs,-1.3041978,-2.8279767
55969,1853.0,1897.0,I5,cs,-1.261532,-3.2472503
39069,1864.0,1912.0,I5,cs,-0.81974137,-3.9568834
57296,1853.0,1905.0,I5,cs,-0.33996466,-4.220677
38176,1877.0,1899.0,I5,cs,-1.6174227,-3.1911469
60356,1861.0,1884.0,I5,cs,-0.34637305,-3.8357894
43122,1864.0,1898.0,I5,cs,-1.3965205,-2.8754122
58587,1868.0,1889.0,I5,cs,-1.4424449,-3.365389
40647,1864.0,1921.0,I5,cs,-0.47632468,-4.1948495
62402,1872.0,1909.0,I5,cs,-0.8320447,-3.647875
55426,1853.0,1888.0,I5,cs,-0.42385006,-4.101974
55007,1853.0,1930.0,I5,cs,-0.57395524,-4.313352
61484,1846.0,1884.0,I5,cs,-1.1763295,-2.9737601
39064,1864.0,1912.0,I5,cs,-0.90257263,-4.042772
33324,1859.0,1899.0,I5,cs,-0.578508,-4.318391
53145,1822.0,1858.0,I5,cs,-1.2446212,-3.4940524
39997,1864.0,1927.0,I5,cs,-1.2907994,-3.4102988
